audience_percent,critic_percent,title,audience_number,critic_number,release_year,genre,runtime,differential,bubble_width
69,91,Michael Clayton,250000,205,2007.0,Drama,2:00,22,27.85134436832817
81,80,Monsters University,250000,203,2013.0,Comedy/Animation,1:42,-1,27.681207044594718
82,81,Despicable Me,250000,202,2010.0,Kids and family/Comedy,1:35,-1,27.595902757162747
58,53,Disney's A Christmas Carol,250000,202,2009.0,Kids and family/Animation,1:35,-5,27.595902757162747
74,85,The Princess and the Frog,250000,201,2009.0,Comedy/Fantasy,1:35,11,27.510439959956123
54,58,Shrek Forever After,250000,201,2010.0,Comedy/Animation,1:35,4,27.510439959956123
75,69,Ocean's Thirteen,250000,201,2007.0,Comedy/Drama,2:02,-6,27.510439959956123
51,42,The Golden Compass,250000,198,2007.0,Kids and family/Adventure,1:58,-9,27.253089591424086
90,96,"Monsters, Inc.",250000,197,2001.0,Kids and family/Comedy,1:32,6,27.166981771469644
37,75,Splice,250000,197,2009.0,Sci fi/Horror,1:47,38,27.166981771469644
70,49,The Twilight Saga: Breaking Dawn Part 2,250000,197,2012.0,Romance/Fantasy,1:55,-21,27.166981771469644
60,64,The Imaginarium of Doctor Parnassus,250000,197,2009.0,Mystery and thriller/Adventure,2:02,4,27.166981771469644
27,20,The Day the Earth Stood Still,250000,196,2008.0,Sci fi,1:44,-7,27.08070988374737
75,27,Seven Pounds,250000,195,2008.0,Drama,2:04,-48,26.9942727761599
73,66,The Chronicles of Narnia: Prince Caspian,250000,194,2008.0,Kids and family/Adventure,2:24,-7,26.907669282564235
69,89,Titanic,250000,193,1997.0,Romance/Drama,3:15,20,26.820898222527152
30,5,The Last Airbender,250000,193,2010.0,Fantasy/Adventure,1:43,-25,26.820898222527152
37,65,Duplicity,250000,192,2009.0,Drama/Romance,2:05,28,26.733958401075075
80,93,Enchanted,250000,192,2007.0,Kids and family/Romance,1:48,13,26.733958401075075
32,26,Land of the Lost,250000,191,2009.0,Comedy/Adventure,1:42,-6,26.646848608438216
47,18,Valentine's Day,250000,190,2010.0,Gay and lesbian/Romance,1:59,-29,26.559567619788876
45,37,You Don't Mess With the Zohan,250000,190,2008.0,Comedy,1:53,-8,26.559567619788876
67,44,The Proposal,250000,189,2009.0,Romance,1:48,-23,26.47211419497369
74,89,Bolt,250000,189,2008.0,Kids and family/Comedy,1:36,15,26.47211419497369
39,56,The Invention of Lying,250000,189,2009.0,Comedy,1:39,17,26.47211419497369
83,87,Kung Fu Panda,250000,189,2008.0,Adventure/Comedy,1:31,4,26.47211419497369
76,51,The Kingdom,250000,189,2007.0,Action/Drama,1:50,-25,26.47211419497369
72,58,Defiance,250000,188,2008.0,Drama/War,2:16,-14,26.384487078239673
56,57,9,250000,187,2009.0,Sci fi/War,1:19,1,26.296684997953903
60,85,Ghost Town,250000,187,2008.0,Comedy/Romance,1:43,25,26.296684997953903
85,75,Despicable Me 2,250000,186,2013.0,Comedy/Adventure,1:38,-10,26.20870666631663
64,44,The Brave One,250000,186,2007.0,Action/Drama,2:02,-20,26.20870666631663
63,45,American Reunion,250000,185,2012.0,Comedy,1:52,-18,26.120550779067592
66,55,Mamma Mia!,250000,185,2008.0,Comedy/Musical,1:49,-11,26.120550779067592
76,83,Forgetting Sarah Marshall,250000,185,2008.0,Romance,1:52,7,26.120550779067592
24,17,The Happening,250000,185,2008.0,Sci fi/Mystery and thriller,1:29,-7,26.120550779067592
47,48,Taking Woodstock,250000,184,2009.0,Drama/Gay and lesbian,2:00,1,26.03221601518546
42,34,Knowing,250000,184,2009.0,Sci fi/Mystery and thriller,1:55,-8,26.03221601518546
77,49,Sex and the City,250000,183,2008.0,Romance,2:25,-28,25.943701036580038
62,26,Eagle Eye,250000,183,2008.0,Action/Mystery and thriller,1:58,-36,25.943701036580038
51,64,The Five-Year Engagement,250000,179,2012.0,Romance,1:59,13,25.587811597850912
82,53,Across the Universe,250000,179,2007.0,Romance/Musical,2:11,-29,25.587811597850912
77,41,The Bucket List,250000,178,2007.0,Comedy/Drama,1:37,-36,25.49837485437685
85,59,Taken,250000,177,2008.0,Action/Mystery and thriller,1:31,-26,25.40874949100198
30,12,The Mummy: Tomb of the Dragon Emperor,250000,177,2008.0,Action/Adventure,1:52,-18,25.40874949100198
67,28,Fast & Furious,250000,176,2009.0,Mystery and thriller/Action,1:47,-39,25.31893404088985
23,14,Year One,250000,175,2009.0,Comedy/Adventure,1:37,-9,25.228927017388646
53,49,Bee Movie,250000,174,2007.0,Kids and family/Comedy,1:31,-4,25.13872691364861
74,89,Waitress,250000,174,2007.0,Comedy/Romance,1:47,15,25.13872691364861
66,36,21,250000,171,2008.0,Drama,2:02,-30,24.86695274122312
50,34,G.I. Joe: The Rise of Cobra,250000,170,2009.0,Adventure/Action,1:58,-16,24.775964830134004
44,15,Jumper,250000,170,2008.0,Sci fi/Action,1:28,-29,24.775964830134004
69,65,Dan in Real Life,250000,170,2007.0,Romance,1:38,-4,24.775964830134004
62,11,Grown Ups,250000,169,2010.0,Comedy,1:42,-51,24.684775987507244
59,41,He's Just Not That Into You,250000,169,2009.0,Romance,2:09,-18,24.684775987507244
49,26,Confessions of a Shopaholic,250000,169,2009.0,Comedy,1:45,-23,24.684775987507244
47,44,Night at the Museum: Battle of the Smithsonian,250000,169,2009.0,Kids and family/Comedy,1:45,-3,24.684775987507244
32,32,The X-Files: I Want to Believe,250000,168,2008.0,Sci fi/Mystery and thriller,1:44,0,24.59338457671065
71,59,Pirate Radio,250000,167,2009.0,Comedy/Drama,2:09,-12,24.501788937948916
52,43,The Last House on the Left,250000,167,2009.0,Horror/Mystery and thriller,1:50,-9,24.501788937948916
59,35,Elizabeth: The Golden Age,250000,167,2007.0,Biography/Drama,1:55,-24,24.501788937948916
55,63,Baby Mama,250000,166,2008.0,Comedy,1:39,8,24.409987387794924
48,48,The Strangers,250000,165,2008.0,Horror/Mystery and thriller,1:25,0,24.317978218708763
62,46,Ice Age: Dawn of the Dinosaurs,250000,165,2009.0,Kids and family/Comedy,1:34,-16,24.317978218708763
69,15,I Now Pronounce You Chuck and Larry,250000,165,2007.0,Comedy/Gay and lesbian,1:55,-54,24.317978218708763
